run_id,case_id,reference_mode,class_mode,top_k,branch_label_none,branch_label_quadratic,class_overlap_none_vs_quadratic,weighted_class_shift,identity_preserved_flag
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p2,3,S2,S2,0.6666666666666666,-0.010140172955651283,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p2,5,S2,S2,1.0,-0.010140172955651283,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=5__nu=0.02,pruned,delta_p2,10,S2,S2,1.0,-0.010140172955651283,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p,1,S2,S2,1.0,4.946533326499747e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p,3,S2,S2,1.0,4.946533326499747e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p,5,S2,S2,1.0,4.946533326499747e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p,10,S2,S2,1.0,4.946533326499747e-06,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p2,1,S2,S2,1.0,-0.06039853714726662,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p2,3,S2,S2,0.6666666666666666,-0.06039853714726662,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p2,5,S2,S2,1.0,-0.06039853714726662,1
config_m33_v0,P0__k0=-1.5__sk=0.8__t=10__nu=0.02,pruned,delta_p2,10,S2,S2,1.0,-0.06039853714726662,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p,1,S2,S2,1.0,-0.00013088492061197332,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p,3,S2,S2,1.0,-0.00013088492061197332,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p,5,S2,S2,1.0,-0.00013088492061197332,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p,10,S2,S2,1.0,-0.00013088492061197332,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p2,1,S2,S2,1.0,0.038452340450988776,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p2,3,S2,S2,1.0,0.038452340450988776,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p2,5,S2,S2,1.0,0.038452340450988776,1
config_m33_v0,P0__k0=-1.5__sk=1__t=2__nu=0.02,pruned,delta_p2,10,S2,S2,1.0,0.038452340450988776,1
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p,1,S2,S2,0.0,-0.0030027410136992394,0
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p,3,S2,S2,1.0,-0.0030027410136992394,1
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p,5,S2,S2,1.0,-0.0030027410136992394,1
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p,10,S2,S2,1.0,-0.0030027410136992394,1
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p2,1,S2,S2,0.0,0.07811755259074027,0
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p2,3,S2,S2,0.6666666666666666,0.07811755259074027,1
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p2,5,S2,S2,1.0,0.07811755259074027,1
config_m33_v0,P0__k0=-1.5__sk=1__t=5__nu=0.02,pruned,delta_p2,10,S2,S2,1.0,0.07811755259074027,1
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p,1,S2,S2,1.0,0.00019312904072299464,1
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p,3,S2,S2,1.0,0.00019312904072299464,1
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p,5,S2,S2,1.0,0.00019312904072299464,1
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p,10,S2,S2,1.0,0.00019312904072299464,1
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p2,1,S2,S2,1.0,-0.10518034968438861,0
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p2,3,S2,S2,0.6666666666666666,-0.10518034968438861,0
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p2,5,S2,S2,1.0,-0.10518034968438861,0
config_m33_v0,P0__k0=-1.5__sk=1__t=10__nu=0.02,pruned,delta_p2,10,S2,S2,1.0,-0.10518034968438861,0
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,0.0,-8.896439140926304e-12,0
