run_id,case_id,reference_mode,top_k,branch_label_none,branch_label_quadratic,pair_overlap_none_vs_quadratic,weighted_pair_overlap,n_entering_pairs,n_leaving_pairs,mean_rank_shift_shared_pairs,dominant_pair_preserved_flag,pair_migration_label,identity_preserved_flag
config_m33_v0,P0__k0=3.5__sk=0.3__t=5__nu=0.02,pruned,3,S3,S3,1.0,0.9999999999999909,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=5__nu=0.02,pruned,5,S3,S3,1.0,0.9999999999999909,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=5__nu=0.02,pruned,10,S3,S3,1.0,0.9999999999999909,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=10__nu=0.02,pruned,1,S3,S3,1.0,0.9999999999993028,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=10__nu=0.02,pruned,3,S3,S3,1.0,0.9999999999993044,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=10__nu=0.02,pruned,5,S3,S3,1.0,0.9999999999993044,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.3__t=10__nu=0.02,pruned,10,S3,S3,1.0,0.9999999999993044,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=2__nu=0.02,pruned,1,S3,S3,1.0,0.9999903341225403,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=2__nu=0.02,pruned,3,S3,S3,1.0,0.9999943400088959,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=2__nu=0.02,pruned,5,S3,S3,1.0,0.9999943400090546,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=2__nu=0.02,pruned,10,S3,S3,1.0,0.9999943400090546,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=5__nu=0.02,pruned,1,S3,S3,1.0,0.9999818105468188,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=5__nu=0.02,pruned,3,S3,S3,1.0,0.9999835073107067,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=5__nu=0.02,pruned,5,S3,S3,1.0,0.9999835073108365,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=5__nu=0.02,pruned,10,S3,S3,1.0,0.9999835073108365,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=10__nu=0.02,pruned,1,S3,S3,1.0,0.998716874983189,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=10__nu=0.02,pruned,3,S3,S3,1.0,0.9987198784390701,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=10__nu=0.02,pruned,5,S3,S3,1.0,0.9987198784390874,0,0,0.0,1,partial_migration,1
config_m33_v0,P0__k0=3.5__sk=0.5__t=10__nu=0.02,pruned,10,S3,S3,1.0,0.9987198784390874,0,0,0.0,1,partial_migration,1
