run_id,case_label,branch_label,mode,sigma_factor,sigma_p_test,t,p_family,theta,source_feature,best_p0,sigma_p_base,best_alpha_source,diversity_group,group_weight,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=1,6,8.429149575087427e-299,5.198292506602646e-292
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-3,7,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-16,8,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=-7,9,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=3,10,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=4,11,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=5,12,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=8,13,0.0,0.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,pruned,0.5,0.15,2.0,P1,1e-09,neg,3.5,0.3,1.58,S2|2.0|P1|neg,0.5,delta_p2,dp2=9,14,0.0,0.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-1.1,1,1.0944790758483064e-07,0.9999967459272815
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-2.2,2,3.561526090518554e-13,3.254072717921278e-06
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-3,3,5.919070158842352e-23,5.408098727853618e-16
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-0.8,4,2.3187055227367528e-24,2.1185402523142782e-17
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-3.1,5,7.412085341417733e-40,6.772227432678978e-33
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-4.2,6,2.363023900642236e-43,2.159032788597723e-36
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-2,7,1.3298461267834545e-44,1.215045430024985e-37
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-1.2,8,5.5183197768036666e-55,5.041943643840533e-48
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-4.6,9,4.076314636015319e-81,3.7244214725910765e-74
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-5.7,10,9.626663979100252e-85,8.795629688739586e-78
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,pruned,0.5,0.25,40.0,P3,1e-09,neg,-2.0,0.5,1.58,S2|40.0|P3|neg,1.0,delta_p,dp=-3.5,11,5.4280243109043e-86,4.959443051491274e-79
