pair_a,pair_b,abs_delta_a,abs_delta_b,same_abs_delta,strength,theta_edge,edge_candidate_flag,expected_flag_by_same_abs_delta,expected_flag_by_strength_threshold,flag_matches_same_abs_delta,flag_matches_strength_threshold,strength_is_one,strength_one_matches_same_abs_delta
0|2,3|1,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,3|5,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,4|2,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,4|6,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,5|3,2,2,true,1.0,0.5,1,1,1,true,true,true,true
0|2,6|4,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,2|0,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,2|4,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,3|1,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,3|5,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,4|2,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,4|6,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,5|3,2,2,true,1.0,0.5,1,1,1,true,true,true,true
1|3,6|4,2,2,true,1.0,0.5,1,1,1,true,true,true,true
2|0,2|4,2,2,true,1.0,0.5,1,1,1,true,true,true,true
2|0,3|1,2,2,true,1.0,0.5,1,1,1,true,true,true,true
