row_id,galaxy_id,radius_kpc,vobs_km_s,vgas_km_s,vdisk_km_s_ml1,vbul_km_s_ml1,gobs_m_per_s2,log10_gobs,vbar_ml1_km_s_preparatory,gbar_status,mass_to_light_assumption_required,claim_boundary
113,ESO079-G014,0.98,50.40,4.41,47.60,0.00,8.4000999182397935e-11,-10.075715548023583,47.803850263341765,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
114,ESO079-G014,1.78,53.90,6.75,62.09,0.00,5.2894069660037436e-11,-10.276593017157555,62.455829191517424,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
115,ESO079-G014,2.69,67.60,8.55,75.48,0.00,5.505421399900104e-11,-10.259209433341274,75.962707297726041,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
116,ESO079-G014,3.36,81.70,9.18,82.21,0.00,6.4380491878926493e-11,-10.191245709547152,82.720955627942303,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
117,ESO079-G014,4.39,102.00,9.29,86.87,0.00,7.6804254504280575e-11,-10.114614721940425,87.365330652381786,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
118,ESO079-G014,5.65,116.00,9.50,92.23,0.00,7.7182170121705085e-11,-10.11248301458774,92.717975064169735,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
119,ESO079-G014,6.34,132.00,10.22,96.19,0.00,8.9065202427884251e-11,-10.050291940692171,96.731403897596763,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
120,ESO079-G014,6.89,137.00,11.87,100.53,0.00,8.8281838147432917e-11,-10.054128632816951,101.22834484471234,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
121,ESO079-G014,8.34,154.00,17.23,113.81,0.00,9.2156260945398753e-11,-10.035475154186951,115.10685904845114,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
122,ESO079-G014,10.04,163.00,24.23,128.72,0.00,8.5761220061003332e-11,-10.066709049223224,130.9806523880531,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
123,ESO079-G014,11.65,170.00,30.75,133.41,0.00,8.0393580656602701e-11,-10.094778627827628,136.90796397580382,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
124,ESO079-G014,13.36,175.00,36.20,132.99,0.00,7.4288073158109036e-11,-10.129080905989076,137.82880722113211,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
125,ESO079-G014,15.06,177.00,39.42,128.51,0.00,6.7417247250333668e-11,-10.171228984363207,134.42007476563907,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
126,ESO079-G014,16.67,178.00,40.49,124.23,0.00,6.1596191365779995e-11,-10.210446140432357,130.66190339957552,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
127,ESO116-G012,0.25,20.90,-0.22,17.33,0.00,5.6624192056887715e-11,-10.246997981672068,17.328603521345855,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
128,ESO116-G012,0.83,40.00,-1.80,34.96,0.00,6.2472853772421493e-11,-10.204308654942288,34.913630576037207,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
129,ESO116-G012,1.38,51.50,-1.55,51.34,0.00,6.2285194713252306e-11,-10.205615173540993,51.316596730492563,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
130,ESO116-G012,1.85,67.90,5.01,61.73,0.00,8.0763898615390247e-11,-10.092782725064149,61.93297183245771,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
131,ESO116-G012,2.68,80.20,12.54,60.49,0.00,7.7779186645066187e-11,-10.1091366026826,61.776141834854016,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
132,ESO116-G012,3.19,83.30,16.68,63.17,0.00,7.0493451422359276e-11,-10.151851225465744,65.335069449722027,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
133,ESO116-G012,3.68,91.40,20.19,65.14,0.00,7.356886019795285e-11,-10.133305972427992,68.197182493120636,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
134,ESO116-G012,4.13,102.00,22.31,66.32,0.00,8.1639389170409628e-11,-10.088100253354705,69.971983679184049,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
135,ESO116-G012,5.23,105.00,25.63,64.52,0.00,6.8316618864482066e-11,-10.165473635949537,69.424255847650244,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
136,ESO116-G012,6.05,109.00,27.28,60.09,0.00,6.3642477252708267e-11,-10.196252923993359,65.992473055644766,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
137,ESO116-G012,6.81,108.00,28.58,55.74,0.00,5.5507268182201287e-11,-10.255650146161024,62.639955300111765,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
138,ESO116-G012,7.56,109.00,30.70,53.61,0.00,5.0930818436360449e-11,-10.293019344842097,61.778006604292436,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
139,ESO116-G012,8.32,110.00,33.83,51.18,0.00,4.7131525723890406e-11,-10.326688501196411,61.350316217603968,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
140,ESO116-G012,9.09,111.00,35.49,49.08,0.00,4.3926998487617183e-11,-10.357268470870791,60.567206473470442,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
141,ESO116-G012,9.86,112.00,33.74,46.34,0.00,4.1229549094107622e-11,-10.384791414822987,57.321751543371391,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
142,ESO444-G084,0.26,18.30,4.59,8.31,0.00,4.174248370161629e-11,-10.379421713732098,9.4933766384780078,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
143,ESO444-G084,0.77,35.30,11.55,14.79,0.00,5.2445489153035429e-11,-10.280291859618975,18.765569535721532,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
