family_id,variant_id,spectral_type,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5761816876873808,0.6032914909919891,0.5373680894683077,0.7039065110634275,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.5440548443676895,0.5646782755390534,0.44566544737053326,0.6941193938936152,0,3,-0.03212684331969129,0.155,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.5440548443676895,0.5681464002360426,0.4486426206949695,0.6895516367338909,0,4,-0.03212684331969129,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.5440548443676895,0.5660703878360545,0.4528583955456965,0.6830324667234134,0,5,-0.03212684331969129,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p,all_pairs,15,0.5557684501498943,0.5854902404469307,0.4934746939475697,0.6949314379721406,0,1,0.0,0.552,1,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p,all_pairs,15,0.5557684501498943,0.5808738016098514,0.48647307191379036,0.6907296226845233,0,2,0.0,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p2,all_pairs,15,0.5520941973396335,0.5791433400318454,0.4743199665780387,0.7138397643713245,0,3,-0.003674252810260792,0.448,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p2,all_pairs,15,0.5520941973396335,0.5778366117129544,0.4790161382170178,0.6898105589002259,0,4,-0.003674252810260792,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_E_quad,all_pairs,15,0.5520941973396335,0.5756065616791373,0.46720510041990937,0.6904981501856476,0,5,-0.003674252810260792,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p,all_pairs,15,0.5556603246851125,0.5800291898589742,0.48533255324145536,0.6922693502836115,0,1,0.0,0.558,1,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p,all_pairs,15,0.5556603246851125,0.5808256113801548,0.48892341052685284,0.6948335180170957,0,2,0.0,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p2,all_pairs,15,0.551971905868209,0.5771111676366472,0.4662417747535227,0.7033558282285444,0,3,-0.003688418816903516,0.442,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p2,all_pairs,15,0.551971905868209,0.5755114092340379,0.47071764148060835,0.6995642276679676,0,4,-0.003688418816903516,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_E_quad,all_pairs,15,0.551971905868209,0.5774339467240249,0.4720651775484237,0.7036433080693546,0,5,-0.003688418816903516,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p,all_pairs,15,0.5582661205788203,0.5864421254636575,0.4923146126122078,0.7032005156850872,0,1,0.0,0.578,1,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p,all_pairs,15,0.5582661205788203,0.5833946022012948,0.49256484975534576,0.6840729411500504,0,2,0.0,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p2,all_pairs,15,0.5484474639484268,0.5711164382120915,0.46003003222890587,0.6856482247506576,0,3,-0.009818656630393496,0.422,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p2,all_pairs,15,0.5484474639484268,0.5730157714675076,0.46238680555584133,0.7160193546814869,0,4,-0.009818656630393496,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_E_quad,all_pairs,15,0.5484474639484268,0.573462518703041,0.466890939285692,0.701304886758832,0,5,-0.009818656630393496,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p,all_pairs,15,0.5631651412695581,0.5894392391982118,0.5113932728460521,0.6943578715212142,0,1,0.0,0.68,1,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p,all_pairs,15,0.5631651412695581,0.589444668097284,0.5052031249667551,0.7044961285432451,0,2,0.0,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p2,all_pairs,15,0.5400987684575369,0.5604030465132906,0.44309054445586266,0.6902387437849917,0,3,-0.023066372812021174,0.32,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p2,all_pairs,15,0.5400987684575369,0.5638790464406328,0.4481856569306967,0.6936298626060945,0,4,-0.023066372812021174,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_E_quad,all_pairs,15,0.5400987684575369,0.5620155391386674,0.43905035191380754,0.6839776428348237,0,5,-0.023066372812021174,0.0,0,0,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A05,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,delta_p,all_pairs,15,0.564654428062252,0.5945931838373679,0.5121563974782335,0.7161474680494291,0,1,0.0,0.75,1,1,{}
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A05,type_B_quadratic_nontrivial,anharmonic_oscillator_1d,abs_delta_p,all_pairs,15,0.564654428062252,0.5900990772585608,0.5137507950965697,0.7057566206001832,0,2,0.0,0.0,0,0,{}
